,event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
29850,2020-01-01 13:34:41 UTC,remove_from_cart,5843836,1487580009286598681,,,0.38,388668097,4db8ccc9-558d-49a4-8287-2d4cb18bf3db
30152,2020-01-01 13:38:50 UTC,view,5697545,1487580013950664926,,airnails,107.94,563846376,8c17483d-a4b0-4ec1-b079-70bdb9fab226
31018,2020-01-01 13:50:07 UTC,cart,5779264,1487580006962955182,,,7.14,595533748,bd199cde-77b3-4d06-acc7-d005bb95c73a
32739,2020-01-01 14:14:52 UTC,view,5898962,1487580013824835799,,,4.65,474097013,f8174c2d-975e-4940-a754-0a23f4faf169
32863,2020-01-01 14:16:36 UTC,cart,5870961,1783999063314661546,,masura,2.05,582593981,885757cf-ca43-47bc-9e22-a707d89a69a9
32902,2020-01-01 14:17:23 UTC,cart,5847863,1487580006317032337,,,9.52,595598998,eb9f59c5-142b-4a23-8a87-860f5f107b63
33906,2020-01-01 14:28:59 UTC,remove_from_cart,5790561,1487580011585077370,,,38.1,511589756,5429cf97-cff4-3bf2-b95d-8f3d15e7ab66
34185,2020-01-01 14:30:53 UTC,cart,5569518,1487580012994363565,,,7.14,547246636,989c8c44-5be4-46d4-a4ef-f18b76a022bb
34783,2020-01-01 14:39:04 UTC,view,6978,1783999064136745198,,runail,5.13,573015982,819d7d0e-cfea-4111-99fd-02915142c9bb
34823,2020-01-01 14:39:51 UTC,cart,5904791,1487580007675986893,,,1.59,541258988,f03b0214-d60b-4705-9510-1de77900e054
35142,2020-01-01 14:44:11 UTC,remove_from_cart,5713294,1487580008070251489,appliances.personal.hair_cutter,,57.14,398516140,4974e906-2e4b-4d5b-901f-e5a01b7bc2f4
35427,2020-01-01 14:48:13 UTC,cart,5767949,1487580005595612013,,,3.33,513339034,ff1db580-58e1-4de1-8b80-c5fc540eda7f
35492,2020-01-01 14:49:20 UTC,cart,5900464,1487580008246412266,,concept,0.33,595524754,1d55153a-b4e7-47d5-bdf1-abef008e8669
36015,2020-01-01 14:55:53 UTC,remove_from_cart,5869141,1783999063314661546,,cosmoprofi,7.94,595608751,284489b7-1aab-4a29-9fe2-2ec27791edd6
36277,2020-01-01 14:58:50 UTC,remove_from_cart,5809886,1602943681873052386,,grattol,4.76,511589756,5429cf97-cff4-3bf2-b95d-8f3d15e7ab66
36318,2020-01-01 14:58:58 UTC,view,5750301,1487580005713052531,,ingarden,15.71,595594726,7432f881-3bff-4150-a803-00fb12829623
36672,2020-01-01 15:03:47 UTC,cart,11709,1487580006132482952,,entity,0.84,595611442,a855201d-1ed6-46f4-bc47-95af63e1e241
37259,2020-01-01 15:11:00 UTC,cart,89312,1487580009605365797,,,1.43,595552446,3f93e525-32ae-4e75-a640-4613592597aa
38033,2020-01-01 15:20:04 UTC,cart,5879119,1487580009445982239,,,0.56,273447372,df69ee00-78c0-421a-ae2a-9aff3e988b54
38202,2020-01-01 15:22:17 UTC,view,5550120,1487580005595612013,,,3.0,594359670,592b5172-fe03-47d0-bf9a-9441589b2c98
39082,2020-01-01 15:32:41 UTC,view,5699414,1487580006409307030,,airnails,11.9,595623509,1a001dbc-c474-4127-bed2-9643b03d3b73
39417,2020-01-01 15:36:39 UTC,view,5809616,1487580005595612013,,,3.02,595612066,3b4ed8e2-f180-460d-84e5-e5f87fe8b96a
39542,2020-01-01 15:38:22 UTC,view,5686925,1487580009311764506,,,0.35,595622800,bf004577-6184-4725-b892-820e138e7db4
39729,2020-01-01 15:41:02 UTC,cart,5814542,1783999063314661546,,runail,3.97,560530223,5d50d0f4-1f37-44a1-9a16-e8296fc5c48a
41328,2020-01-01 15:59:48 UTC,view,5883966,1487580008246412266,,,6.33,490402605,62d4b4d3-a16e-4233-941c-55a7e1598ffd
41903,2020-01-01 16:08:02 UTC,purchase,5823633,1487580004916134735,,,5.22,518144371,dc709853-f371-4f53-8c2e-dcfc109b9f8a
42429,2020-01-01 16:14:28 UTC,remove_from_cart,5854820,1602943681873052386,,grattol,5.24,566350193,0f2fa139-3dcb-4b64-baf2-f174a9a4e267
42873,2020-01-01 16:18:32 UTC,remove_from_cart,5875361,2084144451428549153,,,2.05,468090141,18fa41ea-2c1d-41ff-9ec2-8f91fb430de7
43499,2020-01-01 16:24:59 UTC,remove_from_cart,5677451,1487580008263189483,,estel,7.78,475043037,32402d59-c9b8-451f-af0b-18297f638d96
43662,2020-01-01 16:26:57 UTC,view,6730,1487580007256556476,,,6.35,529100682,3592dc73-f14e-491c-819d-2606f2559146
43892,2020-01-01 16:29:31 UTC,remove_from_cart,5769932,1487580013841613016,,kapous,3.65,578406212,dbdfa269-e749-409f-8f03-1ee73f6f42cc
43923,2020-01-01 16:29:50 UTC,remove_from_cart,5769904,1487580013841613016,,kapous,3.65,578406212,dbdfa269-e749-409f-8f03-1ee73f6f42cc
44301,2020-01-01 16:35:28 UTC,remove_from_cart,5773361,1487580005134238553,,runail,2.62,589709315,ebb14168-e5b2-42da-b29f-24afed925ce4
44598,2020-01-01 16:37:46 UTC,view,5835922,1487580004857414477,,lianail,5.54,430118199,c266b2f3-8048-408f-84c6-2335c3cfbfe8
45632,2020-01-01 16:49:52 UTC,cart,5815117,1487580005461394279,,bluesky,3.97,590929026,01446d63-4f31-426f-8c39-8a1dd7d34796
45873,2020-01-01 16:53:28 UTC,cart,5762862,1783999071325782053,,,0.41,565036131,deebb426-3667-3094-d854-fb3010a97c0e
45877,2020-01-01 16:53:30 UTC,purchase,5597835,1487580005595612013,,,6.83,595622961,a6d2712b-b66a-4200-9bbc-74f05fd78503
46003,2020-01-01 16:54:48 UTC,view,5814542,1783999063314661546,,runail,3.97,560530223,5d50d0f4-1f37-44a1-9a16-e8296fc5c48a
46179,2020-01-01 16:56:44 UTC,view,5815730,1487580005092295511,,,10.95,520054776,2ec60a5c-d388-494e-a164-12288a0d463d
46973,2020-01-01 17:05:08 UTC,remove_from_cart,41964,1487580010125459512,,,9.37,564629879,cbd54cd0-d2bd-4a1e-9b42-06168df77ac0
47036,2020-01-01 17:05:38 UTC,view,5900578,1842735760499802745,,kinetics,9.44,375658469,e0040d71-4063-4b78-ab8f-58d2d7ddd4c3
47061,2020-01-01 17:05:50 UTC,view,39956,1487580010125459512,,,2.86,591799335,3469b045-16ac-48e7-95a6-e43f2b4addef
47149,2020-01-01 17:07:16 UTC,view,5856190,1487580009026551821,,runail,15.71,595654603,7554004d-43ee-47fa-8d94-b02ff283333d
47772,2020-01-01 17:14:58 UTC,cart,5854897,1487580009445982239,,irisk,0.32,378775226,22c9b25f-6831-420f-a263-40de49c65f20
47858,2020-01-01 17:15:59 UTC,cart,5628025,1605161575889502297,,,2.7,413597881,8ac48411-8760-4c16-949c-0d394ece167e
48025,2020-01-01 17:18:13 UTC,view,5466,1487580007306888126,,ingarden,3.81,378775226,22c9b25f-6831-420f-a263-40de49c65f20
48216,2020-01-01 17:20:36 UTC,view,5809910,1602943681873052386,,grattol,5.24,424225502,bb9d250d-ad2a-426a-8aad-040fc923d39e
48953,2020-01-01 17:28:56 UTC,view,82253,1487580007717929935,,,0.79,527789336,dea67f60-86a1-4b8a-ac76-b06171b6f4e6
49114,2020-01-01 17:30:40 UTC,cart,5875315,1487580013489291461,,,3.89,595600019,363a433e-e3fa-4d23-8200-5805940f3cc6
49919,2020-01-01 17:38:04 UTC,remove_from_cart,60000,1487580012994363565,,,6.83,470426681,5c815f10-aa4d-4d29-b54f-f6fc80a779c4
50057,2020-01-01 17:39:20 UTC,remove_from_cart,5736312,1487580005050352469,,haruyama,3.97,479366110,b4726b71-287d-475e-91ad-23f1d5cc4c7f
50090,2020-01-01 17:39:34 UTC,view,5861386,1487580013522845895,,,3.97,579540860,bec62463-6640-48ff-bc63-eb9edd2be21e
50437,2020-01-01 17:43:20 UTC,remove_from_cart,5820722,1487580006317032337,,,2.22,587844570,58889f39-9046-43af-9911-258e9169a424
50812,2020-01-01 17:46:39 UTC,view,5677989,1487580008263189483,,estel,8.73,595667682,5c8fd9fb-6083-422d-a654-875baa7488c2
50948,2020-01-01 17:47:52 UTC,view,5697508,1487580008246412266,,estel,7.14,595667608,f67fc763-5045-4f9e-9cce-3cb0a1848149
51587,2020-01-01 17:53:48 UTC,view,5816169,1602943681873052386,,grattol,5.24,464957021,d5b6713b-65b1-4313-bd3b-e196dfc82191
51884,2020-01-01 17:56:45 UTC,view,5763238,1487580010125459512,,uno,2.38,594427405,4dc52015-39f0-4893-8c52-a395fa252391
51910,2020-01-01 17:56:57 UTC,view,5670733,2196456817641391019,,,1.43,566921560,84ac82f3-738f-43eb-899d-ee3cec4e32af
52796,2020-01-01 18:05:46 UTC,cart,5646937,1487580005511725929,,,5.56,546203327,94eaf64f-10d5-465c-8459-50b3bb5083d6
52842,2020-01-01 18:06:07 UTC,remove_from_cart,5793703,1487580006509970331,,irisk,2.22,526019327,2ff5a26a-921a-4ad5-adf0-13d089a9b82f
53154,2020-01-01 18:09:08 UTC,cart,5804037,1487580005461394279,,bluesky,3.97,595668346,3f794d32-5820-4d20-bdb0-73dbb5a30643
53572,2020-01-01 18:12:54 UTC,view,3945,1487580005411062629,,cnd,15.54,574066162,2f3022ac-342f-4b96-b0d7-25fb8d5c0953
54683,2020-01-01 18:22:57 UTC,remove_from_cart,5900881,1487580005511725929,,,5.56,523418374,6e9ce6e8-0344-429b-a388-39a08c69006d
54722,2020-01-01 18:23:23 UTC,view,5769875,1487580013841613016,,kapous,3.65,595679530,ef76a2a3-a9bf-46b0-9128-0a147c66a5f9
55267,2020-01-01 18:27:36 UTC,cart,5686925,1487580009311764506,,,0.35,477315260,0e8ae590-9e44-4c4f-a220-44fcd5026b07
55525,2020-01-01 18:30:06 UTC,cart,5869139,1783999064103190764,,cosmoprofi,6.35,539434908,2e8ceaab-539c-49f6-a27f-a34e0df76ac5
55535,2020-01-01 18:30:09 UTC,cart,5727534,1487580004882580302,,,2.7,595672467,17fe0153-04d7-47ec-afbd-f491eda8d985
55706,2020-01-01 18:32:10 UTC,cart,5839672,1487580005671109489,,masura,2.37,561629777,89b69fcf-8281-4a16-978b-e10cbdf97ade
56483,2020-01-01 18:38:41 UTC,remove_from_cart,5726465,1487580005268456287,,,9.52,595681667,5324a7b3-5a8a-46ad-8043-46c9f40b369c
